scenario_id,tags,min_fde,min_ade,miss,n_agents,batch_idx,agent_idx
1239_230,turning+dense_traffic,61.2506103515625,0.0,1.0,350,1239,230
620_280,turning+dense_traffic,56.14909744262695,37.656097412109375,1.0,353,620,280
1221_107,turning+dense_traffic,53.79631042480469,27.74198341369629,1.0,431,1221,107
620_300,turning+dense_traffic,53.39405822753906,44.89472198486328,1.0,353,620,300
1456_250,turning+dense_traffic,53.0764045715332,35.650115966796875,1.0,377,1456,250
1004_338,turning+dense_traffic,51.21183776855469,0.0,1.0,411,1004,338
1913_98,turning+dense_traffic,51.168922424316406,32.62553405761719,1.0,388,1913,98
1405_364,turning+dense_traffic,50.73228073120117,32.32282638549805,1.0,454,1405,364
2_235,turning+dense_traffic,50.038265228271484,30.079986572265625,1.0,362,2,235
713_48,turning+dense_traffic,50.03639221191406,30.47787094116211,1.0,393,713,48
40_311,turning+dense_traffic,49.83922576904297,31.615917205810547,1.0,404,40,311
151_185,turning+dense_traffic,49.550235748291016,0.0,1.0,326,151,185
1402_133,turning+dense_traffic,49.39647674560547,0.0,1.0,382,1402,133
1704_365,turning+dense_traffic,49.033241271972656,0.0,1.0,442,1704,365
2248_345,turning+dense_traffic,47.93387222290039,34.958248138427734,1.0,442,2248,345
1846_150,turning+dense_traffic,47.82316207885742,34.878501892089844,1.0,322,1846,150
121_5,turning+dense_traffic,47.3449821472168,26.48615837097168,1.0,299,121,5
1079_201,turning+dense_traffic,47.12385940551758,29.881772994995117,1.0,328,1079,201
1684_37,turning+dense_traffic,47.051658630371094,34.371803283691406,1.0,324,1684,37
557_121,turning+dense_traffic,47.04816818237305,32.11674499511719,1.0,360,557,121
1947_234,turning+dense_traffic,46.922603607177734,30.204835891723633,1.0,317,1947,234
845_150,turning+dense_traffic,46.8903923034668,34.21232604980469,1.0,404,845,150
434_85,turning+dense_traffic,46.871673583984375,36.3543815612793,1.0,385,434,85
1747_110,turning+dense_traffic,46.87150955200195,32.02960205078125,1.0,364,1747,110
627_5,turning+dense_traffic,46.655452728271484,0.0,1.0,451,627,5
1987_71,turning+dense_traffic,46.457916259765625,33.649497985839844,1.0,261,1987,71
2251_297,turning+dense_traffic,46.286773681640625,24.032440185546875,1.0,301,2251,297
1295_56,turning+dense_traffic,46.24375915527344,23.78722381591797,1.0,361,1295,56
1782_253,turning+dense_traffic,46.05462646484375,33.434513092041016,1.0,376,1782,253
437_103,turning+dense_traffic,46.051292419433594,26.408601760864258,1.0,326,437,103
127_239,turning+dense_traffic,45.998382568359375,33.535404205322266,1.0,316,127,239
2211_58,turning+dense_traffic,45.959102630615234,33.487144470214844,1.0,276,2211,58
1092_4,turning+dense_traffic,45.915679931640625,38.10149002075195,1.0,318,1092,4
454_57,turning+dense_traffic,45.786956787109375,29.238704681396484,1.0,363,454,57
1376_146,turning+dense_traffic,45.770938873291016,31.203622817993164,1.0,318,1376,146
2358_213,turning+dense_traffic,45.664737701416016,25.102033615112305,1.0,387,2358,213
1219_222,turning+dense_traffic,45.51249694824219,26.879802703857422,1.0,329,1219,222
1875_401,turning+dense_traffic,45.504600524902344,22.913597106933594,1.0,403,1875,401
2021_214,turning+dense_traffic,45.4107780456543,28.84475326538086,1.0,289,2021,214
2150_93,turning+dense_traffic,45.31529998779297,31.08120346069336,1.0,343,2150,93
8_168,turning+dense_traffic,45.116085052490234,35.01029586791992,1.0,447,8,168
939_145,turning+dense_traffic,45.11411666870117,34.961734771728516,1.0,408,939,145
1892_154,turning+dense_traffic,45.10942459106445,35.062068939208984,1.0,297,1892,154
2270_227,turning+dense_traffic,45.072776794433594,29.131397247314453,1.0,350,2270,227
540_203,turning+dense_traffic,44.993614196777344,28.908559799194336,1.0,288,540,203
1324_91,turning+dense_traffic,44.91767501831055,30.450923919677734,1.0,302,1324,91
2092_317,turning+dense_traffic,44.80284118652344,25.594629287719727,1.0,380,2092,317
1517_150,turning+dense_traffic,44.7812385559082,28.41240692138672,1.0,409,1517,150
541_355,turning+dense_traffic,44.77052688598633,30.47484016418457,1.0,357,541,355
600_416,turning+dense_traffic,44.7649040222168,23.054471969604492,1.0,417,600,416
